nome_bairr;id_bairro;cod_sinan
ADHEMAR GARCIA;414;76
AMÉRICA;201;420910
ANITA GARIBALDI;401;61
ATIRADORES;402;72
AVENTUREIRO;211;1
BOA VISTA;203;8
BOEHMERWALD;420;7
BOM RETIRO;202;9
BUCAREIN;403;62
CENTRO;101;13
COMASA;214;82
COSTA E SILVA;204;19
DONA FRANCISCA;422;999999
ESPINHEIROS;417;25
FÁTIMA;404;63
FLORESTA;405;64
GLÓRIA;205;65
GUANABARA;406;29
IRIRIÚ;207;31
ITAUM;407;30
ITINGA;408;32
JARDIM IRIRIÚ;416;34
JARDIM PARAÍSO;415;67
JARDIM SOFIA;212;66
JARIVATUBA;409;35
JOÃO COSTA;419;75
MORRO DO MEIO;413;68
NOVA BRASILIA;410;41
PARANAGUAMIRIM;421;42
PARQUE GUARANI;425;8888
PETRÓPOLIS;418;74
PIRABEIRABA;301;43
PROFIPO;426;7777
RIO BONITO;423;81
SAGUAÇU;206;70
SANTA CATARINA;411;54
SANTO ANTÔNIO;208;69
SAO MARCOS;412;71
ULYSSES GUIMARÃES;424;6666
VILA CUBATÃO;215;5555
VILA NOVA;209;59
ZONA INDUSTRIAL NORTE;210;73
ZONA INDUSTRIAL TUPY;213;999999
