data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-06-15,202525,427.5,211,1928,169,1.6633916e-11,69.17711,0,4,420910220252520263,2025-06-24,,0.6641208,617979,14.103225,95.636325,0,0,1,86.95875,69.34775,17.318725,22.41,168,,,,,151858
2025-06-08,202524,463.0,414,653,402,0.0,74.92164,0,4,420910220252420263,2025-06-24,,0.59686875,617979,12.0957571428571,95.8832571428571,0,0,2,87.4381285714286,73.7136857142857,14.2102142857143,16.9020571428571,174,,,,,151858
2025-06-01,202523,644.0,623,705,616,1.8642766e-08,104.21066,0,4,420910220252320263,2025-06-24,,0.7516547,617979,15.0426428571429,95.9580714285714,0,0,2,90.6719142857143,81.8552,16.8281714285714,19.1734428571429,61,,,,,151858
2025-05-25,202522,828.0,812,864,808,0.05831938,133.98514,0,4,420910220252220263,2025-06-24,,0.9271397,617979,13.9685,88.0160571428571,0,0,2,77.9657571428571,60.4939571428571,17.1107857142857,21.2920857142857,83,,,,,151858
2025-05-18,202521,874.0,862,909,860,0.2515605,141.42876,0,4,420910220252120263,2025-06-24,,0.9687295,617979,16.6121142857143,96.3665571428571,0,0,2,90.0034857142857,78.6546714285714,18.5573,21.4470428571429,109,,,,,151858
2025-05-11,202520,905.0,899,922,898,0.6468892,146.4451,0,4,420910220252020263,2025-06-24,,1.0179539,617979,15.5428857142857,97.1207571428571,0,0,2,86.7557142857143,69.1532428571429,18.0852714285714,21.4685285714286,93,,,,,151858
2025-05-04,202519,925.0,922,935,922,0.96921015,149.68146,0,4,420910220251920263,2025-06-24,,1.0929196,617979,17.1591285714286,97.5161571428571,0,1,2,85.2466285714286,64.8524142857143,20.3682142857143,24.9773714285714,77,,,,,151858
2025-04-27,202518,887.0,886,894,886,0.99438167,143.53238,0,4,420910220251820263,2025-06-24,,1.1321852,617979,15.7779285714286,96.5255714285714,0,1,2,84.7086571428571,65.9281,18.6841428571429,22.2872,117,,,,,151858
2025-04-20,202517,909.0,908,913,908,0.99987066,147.09238,0,4,420910220251720263,2025-06-24,,1.1962347,617979,16.7472,93.6847428571429,0,1,2,83.7134142857143,69.0778714285714,19.0083571428571,21.8756714285714,100,,,,,151858
2025-04-13,202516,725.0,725,727,725,0.109167665,117.3179,0,4,420910220251620263,2025-06-24,,0.9383655,617979,18.0594857142857,97.5867857142857,1,0,2,88.5368142857143,74.035,20.4291,23.2891571428571,82,,,,,151858
2025-04-06,202515,742.0,742,742,742,0.14065854,120.0688,0,4,420910220251520263,2025-06-24,,0.9463403,617979,17.7991857142857,95.7874571428571,0,0,2,86.3156,72.7938714285714,19.9590714285714,22.8529857142857,92,,,,,151858
2025-03-30,202514,802.0,802,802,802,0.6601611,129.77788,0,4,420910220251420263,2025-06-24,,1.0209372,617979,19.8247,94.4471285714286,1,0,2,85.2468714285714,70.8731571428571,22.4356857142857,25.5367,108,,,,,151858
2025-03-23,202513,770.0,770,770,770,0.47294495,124.5997,0,4,420910220251320263,2025-06-24,,0.996551,617979,20.4545285714286,98.3324714285714,1,0,2,88.3178428571428,72.8408571428571,22.9604428571429,26.2628,67,,,,,151858
2025-03-16,202512,818.0,818,818,818,0.9229063,132.36696,0,4,420910220251220263,2025-06-24,,1.0743461,617979,18.0369142857143,97.1013714285714,1,0,2,83.7439142857143,65.1154428571429,21.4132571428571,25.0307428571429,75,,,,,151858
2025-03-09,202511,767.0,767,767,767,0.72913736,124.11425,0,4,420910220251120263,2025-06-24,,1.0318947,617979,20.3147571428571,95.2726428571429,1,0,2,86.3930142857143,73.6266571428571,22.2697428571429,24.9401142857143,76,,,,,151858
